time,cell_id,x,y,radius
0.64,1,-32.2394,0,5
0.64,2,-23.6192,0,5
0.64,3,-15.4791,0,5
0.64,4,-7.65964,0,5
0.64,5,0,0,5
0.64,6,7.65964,0,5
0.64,7,15.4791,0,5
0.64,8,23.6192,0,5
0.64,9,32.2394,0,5
0.64,10,41.4891,0,5
0.65,0,-41.6061,0,5
0.65,1,-32.3451,0,5
0.65,2,-23.7052,0,5
0.65,3,-15.5394,0,5
0.65,4,-7.69062,0,5
0.65,5,0,0,5
0.65,6,7.69062,0,5
0.65,7,15.5394,0,5
0.65,8,23.7052,0,5
0.65,9,32.3451,0,5
0.65,10,41.6061,0,5
0.66,0,-41.7213,0,5
0.66,1,-32.4492,0,5
0.66,2,-23.7898,0,5
0.66,3,-15.5988,0,5
0.66,4,-7.72116,0,5
0.66,5,0,0,5
0.66,6,7.72116,0,5
0.66,7,15.5988,0,5
0.66,8,23.7898,0,5
0.66,9,32.4492,0,5
0.66,10,41.7213,0,5
0.67,0,-41.8346,0,5
0.67,1,-32.5518,0,5
0.67,2,-23.8732,0,5
0.67,3,-15.6573,0,5
0.67,4,-7.75125,0,5
0.67,5,0,0,5
0.67,6,7.75125,0,5
0.67,7,15.6573,0,5
0.67,8,23.8732,0,5
0.67,9,32.5518,0,5
0.67,10,41.8346,0,5
0.68,0,-41.9463,0,5
0.68,1,-32.6528,0,5
0.68,2,-23.9554,0,5
0.68,3,-15.715,0,5
0.68,4,-7.78092,0,5
0.68,5,0,0,5
0.68,6,7.78092,0,5
0.68,7,15.715,0,5
0.68,8,23.9554,0,5
0.68,9,32.6528,0,5
0.68,10,41.9463,0,5
0.69,0,-42.0562,0,5
0.69,1,-32.7522,0,5
0.69,2,-24.0364,0,5
0.69,3,-15.7718,0,5
0.69,4,-7.81015,0,5
0.69,5,0,0,5
0.69,6,7.81015,0,5
0.69,7,15.7718,0,5
0.69,8,24.0364,0,5
0.69,9,32.7522,0,5
0.69,10,42.0562,0,5
0.7,0,-42.1644,0,5
0.7,1,-32.8502,0,5
0.7,2,-24.1161,0,5
0.7,3,-15.8278,0,5
0.7,4,-7.83897,0,5
0.7,5,0,0,5
0.7,6,7.83897,0,5
0.7,7,15.8278,0,5
0.7,8,24.1161,0,5
0.7,9,32.8502,0,5
0.7,10,42.1644,0,5
0.71,0,-42.271,0,5
0.71,1,-32.9466,0,5
0.71,2,-24.1947,0,5
0.71,3,-15.883,0,5
0.71,4,-7.86738,0,5
0.71,5,0,0,5
0.71,6,7.86738,0,5
0.71,7,15.883,0,5
0.71,8,24.1947,0,5
0.71,9,32.9466,0,5
0.71,10,42.271,0,5
0.72,0,-42.3759,0,5
0.72,1,-33.0417,0,5
0.72,2,-24.2721,0,5
0.72,3,-15.9374,0,5
0.72,4,-7.89538,0,5
0.72,5,0,0,5
0.72,6,7.89538,0,5
0.72,7,15.9374,0,5
0.72,8,24.2721,0,5
0.72,9,33.0417,0,5
0.72,10,42.3759,0,5
0.73,0,-42.4792,0,5
0.73,1,-33.1353,0,5
0.73,2,-24.3484,0,5
0.73,3,-15.991,0,5
0.73,4,-7.92299,0,5
0.73,5,0,0,5
0.73,6,7.92299,0,5
0.73,7,15.991,0,5
0.73,8,24.3484,0,5
0.73,9,33.1353,0,5
0.73,10,42.4792,0,5
0.74,0,-42.581,0,5
0.74,1,-33.2275,0,5
0.74,2,-24.4236,0,5
0.74,3,-16.0439,0,5
0.74,4,-7.9502,0,5
0.74,5,0,0,5
0.74,6,7.9502,0,5
0.74,7,16.0439,0,5
0.74,8,24.4236,0,5
0.74,9,33.2275,0,5
0.74,10,42.581,0,5
0.75,0,-42.6813,0,5
0.75,1,-33.3183,0,5
0.75,2,-24.4976,0,5
0.75,3,-16.096,0,5
0.75,4,-7.97703,0,5
0.75,5,0,0,5
0.75,6,7.97703,0,5
0.75,7,16.096,0,5
0.75,8,24.4976,0,5
0.75,9,33.3183,0,5
0.75,10,42.6813,0,5
0.76,0,-42.78,0,5
0.76,1,-33.4078,0,5
0.76,2,-24.5706,0,5
0.76,3,-16.1473,0,5
0.76,4,-8.00348,0,5
0.76,5,0,0,5
0.76,6,8.00348,0,5
0.76,7,16.1473,0,5
0.76,8,24.5706,0,5
0.76,9,33.4078,0,5
0.76,10,42.78,0,5
0.77,0,-42.8773,0,5
0.77,1,-33.496,0,5
0.77,2,-24.6426,0,5
0.77,3,-16.1979,0,5
0.77,4,-8.02956,0,5
0.77,5,0,0,5
0.77,6,8.02956,0,5
0.77,7,16.1979,0,5
0.77,8,24.6426,0,5
0.77,9,33.496,0,5
0.77,10,42.8773,0,5
0.78,0,-42.9731,0,5
0.78,1,-33.5828,0,5
0.78,2,-24.7135,0,5
0.78,3,-16.2478,0,5
0.78,4,-8.05527,0,5
0.78,5,0,0,5
0.78,6,8.05527,0,5
0.78,7,16.2478,0,5
0.78,8,24.7135,0,5
0.78,9,33.5828,0,5
0.78,10,42.9731,0,5
0.79,0,-43.0674,0,5
0.79,1,-33.6684,0,5
0.79,2,-24.7834,0,5
0.79,3,-16.297,0,5
0.79,4,-8.08062,0,5
0.79,5,0,0,5
0.79,6,8.08062,0,5
0.79,7,16.297,0,5
0.79,8,24.7834,0,5
0.79,9,33.6684,0,5
0.79,10,43.0674,0,5
0.8,0,-43.1604,0,5
0.8,1,-33.7528,0,5
0.8,2,-24.8522,0,5
0.8,3,-16.3455,0,5
0.8,4,-8.10561,0,5
0.8,5,0,0,5
0.8,6,8.10561,0,5
0.8,7,16.3455,0,5
0.8,8,24.8522,0,5
0.8,9,33.7528,0,5
0.8,10,43.1604,0,5
0.81,0,-43.252,0,5
0.81,1,-33.8359,0,5
0.81,2,-24.9201,0,5
0.81,3,-16.3933,0,5
0.81,4,-8.13026,0,5
0.81,5,0,0,5
0.81,6,8.13026,0,5
0.81,7,16.3933,0,5
0.81,8,24.9201,0,5
0.81,9,33.8359,0,5
0.81,10,43.252,0,5
0.82,0,-43.3423,0,5
0.82,1,-33.9178,0,5
0.82,2,-24.987,0,5
0.82,3,-16.4404,0,5
0.82,4,-8.15456,0,5
0.82,5,0,0,5
0.82,6,8.15456,0,5
0.82,7,16.4404,0,5
0.82,8,24.987,0,5
0.82,9,33.9178,0,5
0.82,10,43.3423,0,5
0.83,0,-43.4312,0,5
0.83,1,-33.9985,0,5
0.83,2,-25.053,0,5
0.83,3,-16.4869,0,5
0.83,4,-8.17853,0,5
0.83,5,0,0,5
0.83,6,8.17853,0,5
0.83,7,16.4869,0,5
0.83,8,25.053,0,5
0.83,9,33.9985,0,5
0.83,10,43.4312,0,5
0.84,0,-43.5188,0,5
0.84,1,-34.078,0,5
0.84,2,-25.118,0,5
0.84,3,-16.5327,0,5
0.84,4,-8.20216,0,5
0.84,5,0,0,5
0.84,6,8.20216,0,5
